start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,length_km,voltage,cost_before_penalty,cost_after_penalty,added_cost,pct_increase
6YOUNG GA_361454,7SHAWNEE FP_360002,34.75072952,-85.27349349,37.150267,-88.778122,499.478,345,962768444.9978719,1163607077.2374067,200838632.23953497,20.861
6KENSNGTN GA_361503,7SHAWNEE FP_360002,34.81265905,-85.32344844,37.150267,-88.778122,499.774,345,963034138.1814778,1161786423.451248,198752285.26977018,20.638
6ALPHA GA_361502,7SHAWNEE FP_360002,34.813027,-84.853226,37.150267,-88.778122,558.102,345,1075351697.3693104,1293136778.408218,217785081.0389075,20.252
6CLOUDLANDGA_361633,7SHAWNEE FP_360002,34.81849122,-85.5353055,37.150267,-88.778122,473.468,345,909249010.6263747,1104769874.1770377,195520863.55066308,21.504
6ROCK SPG GA_361500,7SHAWNEE FP_360002,34.83897801,-85.28020801,37.150267,-88.778122,503.812,345,970290443.0728117,1169925871.4614167,199635428.38860503,20.575
6WID CRK FP_360068,7SHAWNEE FP_360002,34.88515896,-85.75604163,37.150267,-88.778122,439.888,345,839437296.3808048,1030143142.2804362,190705845.8996314,22.718
6WRINGOLD GA_361504,7SHAWNEE FP_360002,34.89324284,-85.13750475,37.150267,-88.778122,549.392,345,1052652531.4848341,1259743853.7194405,207091322.2346063,19.673
6BATTLFLD GA_361530,7SHAWNEE FP_360002,34.9555953,-85.26465286,37.150267,-88.778122,482.172,345,930329705.998009,1130036817.8689957,199707111.87098664,21.466
6S HAVEN CC_360594,7SHAWNEE FP_360002,34.99627529,-90.0485284,37.150267,-88.778122,324.405,345,610537336.9028168,901586010.489758,291048673.58694124,47.671
6CONCORD TN_361509,7SHAWNEE FP_360002,34.99679719,-85.1610968,37.150267,-88.778122,563.732,345,1087110966.459806,1310734604.273128,223623637.81332207,20.57
8CHOCTAW MS_360654,8DAVIDSON TN_360048,33.2984397,-89.4127739,36.06703747,-86.9841046,418.796,500,1015865242.668355,1419665760.122416,403800517.4540609,39.749
8ACKERMAN CC_360627,8DAVIDSON TN_360048,33.38593855,-89.20997726,36.06703747,-86.9841046,399.992,500,966709897.1056943,1250374851.4202096,283664954.3145153,29.343
8CLAY_360688,8DAVIDSON TN_360048,33.47863869,-88.74043971,36.06703747,-86.9841046,362.257,500,873356187.442822,1127799920.360391,254443732.91756898,29.134
8COGEN CALED_360606,8DAVIDSON TN_360048,33.64779158,-88.31593565,36.06703747,-86.9841046,324.436,500,781511930.8814071,974685396.3092501,193173465.42784292,24.718
6CENTER PNT_360533,8DAVIDSON TN_360048,34.6665318,-84.97089121,36.06703747,-86.9841046,331.107,500,833371735.2335594,954212620.549203,120840885.31564371,14.5
8BR FERRY NP_360052,8DAVIDSON TN_360048,34.70520875,-87.11705751,36.06703747,-86.9841046,169.22,500,415033001.81862473,485084478.6977463,70051476.87912151,16.879
6LOOPERS FRM_360602,8DAVIDSON TN_360048,34.708916,-84.922795,36.06703747,-86.9841046,322.479,500,806157974.243211,900723291.8285246,94565317.58531353,11.73
6COUNTY LINE_360013,8DAVIDSON TN_360048,34.74311084,-85.00751569,36.06703747,-86.9841046,300.886,500,760646029.3622322,867407493.7111037,106761464.34887148,14.036
6YOUNG GA_361454,8DAVIDSON TN_360048,34.75072952,-85.27349349,36.06703747,-86.9841046,258.46,500,657052837.8623157,748863482.4622022,91810644.5998865,13.973
6KENSNGTN GA_361503,8DAVIDSON TN_360048,34.81265905,-85.32344844,36.06703747,-86.9841046,258.756,500,657427068.1035221,746458437.8645921,89031369.76106995,13.542
