fid,start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,voltage,polarity,start_option,end_option,rid
95,6BATTLFLD GA_361530,8MONTGOMERY_360044,34.9555953,-85.26465286,36.59438524,-87.25325857,500,ac,default,default,6BATTLFLD_GA_361530-8MONTGOMERY_360044
96,6BATTLFLD GA_361530,8PARADIS CC5_360185,34.9555953,-85.26465286,37.25966758,-86.97670194,500,ac,default,default,6BATTLFLD_GA_361530-8PARADIS_CC5_360185
97,6BATTLFLD GA_361530,8PARADISE CC_360117,34.9555953,-85.26465286,37.259697,-86.976991,500,ac,default,default,6BATTLFLD_GA_361530-8PARADISE_CC_360117
98,6BATTLFLD GA_361530,8PHIPPS B NP_360102,34.9555953,-85.26465286,36.46070569,-82.80788409,500,ac,default,default,6BATTLFLD_GA_361530-8PHIPPS_B_NP_360102
99,6BATTLFLD GA_361530,8PIN HOOK TN_360581,34.9555953,-85.26465286,36.04646628,-86.60595108,500,ac,default,default,6BATTLFLD_GA_361530-8PIN_HOOK_TN_360581
100,6BATTLFLD GA_361530,8PLATEAU TN_360077,34.9555953,-85.26465286,36.05858036,-85.14194112,500,ac,default,default,6BATTLFLD_GA_361530-8PLATEAU_TN_360077
101,6BATTLFLD GA_361530,8RACCOON MTN_360079,34.9555953,-85.26465286,35.05681146,-85.38724619,500,ac,default,default,6BATTLFLD_GA_361530-8RACCOON_MTN_360079
102,6BATTLFLD GA_361530,8RUTHERFORD_360010,34.9555953,-85.26465286,35.82791498,-86.59841524,500,ac,default,default,6BATTLFLD_GA_361530-8RUTHERFORD_360010
103,6BATTLFLD GA_361530,8SEQUOYAH NP_360081,34.9555953,-85.26465286,35.22706031,-85.09419774,500,ac,default,default,6BATTLFLD_GA_361530-8SEQUOYAH_NP_360081
104,6BATTLFLD GA_361530,8SHAWNEE FP_360001,34.9555953,-85.26465286,37.150267,-88.778122,500,ac,default,default,6BATTLFLD_GA_361530-8SHAWNEE_FP_360001
105,6BATTLFLD GA_361530,8SHELBY TN_360021,34.9555953,-85.26465286,35.38606284,-89.80340294,500,ac,default,default,6BATTLFLD_GA_361530-8SHELBY_TN_360021
106,6BATTLFLD GA_361530,8TRICO STEEL_360014,34.9555953,-85.26465286,34.60872576,-87.05506218,500,ac,default,default,6BATTLFLD_GA_361530-8TRICO_STEEL_360014
107,6BATTLFLD GA_361530,8UNION MS_360033,34.9555953,-85.26465286,34.37783096,-88.85850114,500,ac,default,default,6BATTLFLD_GA_361530-8UNION_MS_360033
108,6BATTLFLD GA_361530,8VOLUNTEER_360097,34.9555953,-85.26465286,36.1219789,-83.81482256,500,ac,default,default,6BATTLFLD_GA_361530-8VOLUNTEER_360097
109,6BATTLFLD GA_361530,8WEST POINT_360035,34.9555953,-85.26465286,33.63551392,-88.65363834,500,ac,default,default,6BATTLFLD_GA_361530-8WEST_POINT_360035
110,6BATTLFLD GA_361530,8WID CRK FP_360065,34.9555953,-85.26465286,34.88726197,-85.75423778,500,ac,default,default,6BATTLFLD_GA_361530-8WID_CRK_FP_360065
111,6BATTLFLD GA_361530,8WILSON TN_360071,34.9555953,-85.26465286,36.2052377,-86.46506033,500,ac,default,default,6BATTLFLD_GA_361530-8WILSON_TN_360071
112,6CENTER PNT_360533,6CLOUDLANDGA_361633,34.6665318,-84.97089121,34.81849122,-85.5353055,230,ac,default,default,6CENTER_PNT_360533-6CLOUDLANDGA_361633
113,6CENTER PNT_360533,6CONCORD TN_361509,34.6665318,-84.97089121,34.99679719,-85.1610968,230,ac,default,default,6CENTER_PNT_360533-6CONCORD_TN_361509
114,6CENTER PNT_360533,6COUNTY LINE_360013,34.6665318,-84.97089121,34.74311084,-85.00751569,230,ac,default,default,6CENTER_PNT_360533-6COUNTY_LINE_360013
115,6CENTER PNT_360533,6KENSNGTN GA_361503,34.6665318,-84.97089121,34.81265905,-85.32344844,230,ac,default,default,6CENTER_PNT_360533-6KENSNGTN_GA_361503
116,6CENTER PNT_360533,6LOOPERS FRM_360602,34.6665318,-84.97089121,34.708916,-84.922795,230,ac,default,default,6CENTER_PNT_360533-6LOOPERS_FRM_360602
117,6CENTER PNT_360533,6ROCK SPG GA_361500,34.6665318,-84.97089121,34.83897801,-85.28020801,230,ac,default,default,6CENTER_PNT_360533-6ROCK_SPG_GA_361500
118,6CENTER PNT_360533,6S HAVEN CC_360594,34.6665318,-84.97089121,34.99627529,-90.0485284,230,ac,default,default,6CENTER_PNT_360533-6S_HAVEN_CC_360594
119,6CENTER PNT_360533,6WID CRK FP_360068,34.6665318,-84.97089121,34.88515896,-85.75604163,230,ac,default,default,6CENTER_PNT_360533-6WID_CRK_FP_360068
120,6CENTER PNT_360533,6WRINGOLD GA_361504,34.6665318,-84.97089121,34.89324284,-85.13750475,230,ac,default,default,6CENTER_PNT_360533-6WRINGOLD_GA_361504
121,6CENTER PNT_360533,6YOUNG GA_361454,34.6665318,-84.97089121,34.75072952,-85.27349349,230,ac,default,default,6CENTER_PNT_360533-6YOUNG_GA_361454
122,6CENTER PNT_360533,7SHAWNEE FP_360002,34.6665318,-84.97089121,37.150267,-88.778122,345,ac,default,default,6CENTER_PNT_360533-7SHAWNEE_FP_360002
123,6CENTER PNT_360533,8ACKERMAN CC_360627,34.6665318,-84.97089121,33.38593855,-89.20997726,500,ac,default,default,6CENTER_PNT_360533-8ACKERMAN_CC_360627
124,6CENTER PNT_360533,8ANDERSON TN_360120,34.6665318,-84.97089121,35.94503289,-84.38856432,500,ac,default,default,6CENTER_PNT_360533-8ANDERSON_TN_360120
125,6CENTER PNT_360533,8BENTON MS_360612,34.6665318,-84.97089121,35.17466126,-89.74553609,500,ac,default,default,6CENTER_PNT_360533-8BENTON_MS_360612
126,6CENTER PNT_360533,8BHAM STEEL_360075,34.6665318,-84.97089121,34.99627529,-90.0485284,500,ac,default,default,6CENTER_PNT_360533-8BHAM_STEEL_360075
127,6CENTER PNT_360533,8BR FERRY NP_360052,34.6665318,-84.97089121,34.70520875,-87.11705751,500,ac,default,default,6CENTER_PNT_360533-8BR_FERRY_NP_360052
128,6CENTER PNT_360533,8BRADLEY TN_360662,34.6665318,-84.97089121,35.0367008,-84.963798,500,ac,default,default,6CENTER_PNT_360533-8BRADLEY_TN_360662
129,6CENTER PNT_360533,8BULL RUN FP_360093,34.6665318,-84.97089121,36.01895969,-84.15785445,500,ac,default,default,6CENTER_PNT_360533-8BULL_RUN_FP_360093
130,6CENTER PNT_360533,8CHOCTAW MS_360654,34.6665318,-84.97089121,33.2984397,-89.4127739,500,ac,default,default,6CENTER_PNT_360533-8CHOCTAW_MS_360654
131,6CENTER PNT_360533,8CLAY_360688,34.6665318,-84.97089121,33.47863869,-88.74043971,500,ac,default,default,6CENTER_PNT_360533-8CLAY_360688
132,6CENTER PNT_360533,8COGEN CALED_360606,34.6665318,-84.97089121,33.64779158,-88.31593565,500,ac,default,default,6CENTER_PNT_360533-8COGEN_CALED_360606
133,6CENTER PNT_360533,8CUMBERLAND_360040,34.6665318,-84.97089121,36.3921331,-87.65747953,500,ac,default,default,6CENTER_PNT_360533-8CUMBERLAND_360040
134,6CENTER PNT_360533,8DAVIDSON TN_360048,34.6665318,-84.97089121,36.06703747,-86.9841046,500,ac,default,default,6CENTER_PNT_360533-8DAVIDSON_TN_360048
135,6CENTER PNT_360533,8E POINT AL_360058,34.6665318,-84.97089121,34.19181783,-86.74805975,500,ac,default,default,6CENTER_PNT_360533-8E_POINT_AL_360058
