start_BusName,end_BusName,length_km,voltage,cost,rid,n_cells,cells_outside_region,orig_cost_sum,adj_cost_sum,pct_increase,frac_none,frac_low,frac_medium,frac_high,added_cost,added_cost_pipeline_basis,adj_cost_pipeline_basis
6S HAVEN CC_360594,8LIMESTONE_360088,343.9096751706281,500,838440574.2444329,6S_HAVEN_CC_360594-8LIMESTONE_360088,3437,0,754825815.703125,1024448645.015625,35.71987387068163,0.1265638638347396,0.07652022112307244,0.2411987198137911,0.5557171952283969,269622829.3125,299489915.6007302,1137930489.845163
6CONCORD TN_361509,8LIMESTONE_360088,250.40762322853925,500,628009638.4735432,6CONCORD_TN_361509-8LIMESTONE_360088,2413,0,544223275.4375,590794268.234375,8.55733205446545,0.48777455449647744,0.3431413178615831,0.1690841276419395,0.0,46570992.796875,53740870.098229095,681750508.5717722
8BRADLEY TN_360662,8LIMESTONE_360088,256.3961427004453,500,640558081.4169847,8BRADLEY_TN_360662-8LIMESTONE_360088,2458,0,552250676.203125,608257908.390625,10.141632161062276,0.45077298616761596,0.3189585028478438,0.23026851098454026,0.0,56007232.1875,64963044.395268396,705521125.8122531
8BENTON MS_360612,8LIMESTONE_360088,304.1305842847271,500,737573696.5870421,8BENTON_MS_360612-8LIMESTONE_360088,3053,0,666549663.296875,904805925.609375,35.74471272463653,0.14248280379954142,0.08614477563052735,0.17916803144448085,0.5922043891254504,238256262.3125,263643598.97752044,1001217295.5645626
8FRANKLIN TN_360069,8LIMESTONE_360088,116.99197395242889,500,283434011.48690856,8FRANKLIN_TN_360069-8LIMESTONE_360088,1117,0,243587634.921875,247018385.453125,1.4084255682150326,0.8576544315129812,0.1423455684870188,0.0,0.0,3430750.53125,3991957.0867991527,287425968.5737077
8HAYWOOD TN_360542,8LIMESTONE_360088,257.9638764781084,500,620071379.8654369,8HAYWOOD_TN_360542-8LIMESTONE_360088,2504,0,542170871.9375,715796121.734375,32.02408295680075,0.1737220447284345,0.10503194888178914,0.24840255591054314,0.4728434504792332,173625249.796875,198572173.0794866,818643552.9449235
8HIWASSEE TN_360110,8LIMESTONE_360088,241.17683097138567,500,603965872.1504638,8HIWASSEE_TN_360110-8LIMESTONE_360088,2187,0,492356340.25,522863159.15625,6.196085317142419,0.5994513031550068,0.3095564700502972,0.0800182898948331,0.010973936899862825,30506818.90625,37422240.72486604,641388112.8753299
8LAG CRK CC_360615,8LIMESTONE_360088,281.3592206135786,500,675956356.1542915,8LAG_CRK_CC_360615-8LIMESTONE_360088,2713,0,587270605.78125,772283194.796875,31.503805433868347,0.17065978621452266,0.09694065610025801,0.2989310726133432,0.43346848507187613,185012589.015625,212951975.26071414,888908331.4150057
8JACKSON TN_360019,8LIMESTONE_360088,235.81301279420546,500,565990401.1484634,8JACKSON_TN_360019-8LIMESTONE_360088,2139,0,462364624.0,602085389.796875,30.218740479780948,0.20336605890603085,0.12295465170640486,0.2267414679756896,0.4469378214118747,139720765.796875,171035170.46352527,737025571.6119887
8ANDERSON TN_360120,8LIMESTONE_360088,290.4930062312949,500,732575015.5353298,8ANDERSON_TN_360120-8LIMESTONE_360088,2573,0,583355841.96875,617343787.390625,5.826280115267224,0.5977458219976681,0.3249125534395647,0.06801399144966964,0.009327633113097552,33987945.421875,42681872.45955069,775256887.9948806
8BULL RUN FP_360093,8LIMESTONE_360088,390.9829996683843,500,973895092.3685658,8BULL_RUN_FP_360093-8LIMESTONE_360088,3516,0,788089576.640625,820568655.953125,4.12124208658462,0.5930034129692833,0.4069965870307167,0.0,0.0,32479079.3125,40136574.42587549,1014031666.7944413
8JVILLE FP_360037,8LIMESTONE_360088,201.53580500034124,500,488574295.342962,8JVILLE_FP_360037-8LIMESTONE_360088,1754,0,382812856.671875,450501643.3125,17.6819522805745,0.3198403648802737,0.20695553021664767,0.403078677309008,0.0701254275940707,67688786.640625,86389473.75769566,574963769.1006577
8DAVIDSON TN_360048,8LIMESTONE_360088,175.67855833919157,500,430124636.9340714,8DAVIDSON_TN_360048-8LIMESTONE_360088,1697,0,374367204.71875,441641964.09375,17.97025982164793,0.37418974661166765,0.2168532704773129,0.24454920447849146,0.164407778432528,67274759.375,77294514.81397246,507419151.7480439
8GLEASON CT_360582,8LIMESTONE_360088,255.34183740675175,500,614120310.7738831,8GLEASON_CT_360582-8LIMESTONE_360088,2199,0,476051398.4375,595156874.59375,25.019457257594247,0.1882673942701228,0.2291950886766712,0.3219645293315143,0.2605729877216917,119105476.15625,153649568.66427663,767769879.4381597
8LAG CRK CT_360568,8LIMESTONE_360088,275.4166815549763,500,662695325.8992945,8LAG_CRK_CT_360568-8LIMESTONE_360088,2403,0,520530800.8125,645410953.03125,23.990924653031808,0.17228464419475656,0.2975447357469829,0.2767374115688722,0.2534332084893883,124880152.21875,158986736.3156633,821682062.2149578
8CUMBERLAND_360040,8LIMESTONE_360088,223.09678554118963,500,540812053.2344141,8CUMBERLAND_360040-8LIMESTONE_360088,2047,0,446747387.375,550164386.390625,23.14887606243945,0.24865657059110893,0.23790913531998045,0.24816805080605764,0.265266243282853,103416999.015625,125191911.93396859,666003965.1683826
7SHAWNEE FP_360002,8LIMESTONE_360088,376.81901264115214,500,901426281.8320875,7SHAWNEE_FP_360002-8LIMESTONE_360088,3323,0,715452713.234375,903276309.921875,26.252412383538037,0.124586217273548,0.17303641287992777,0.5293409569665964,0.17303641287992777,187823596.6875,236646144.84015343,1138072426.672241
8CHOCTAW MS_360654,8HAYWOOD TN_360542,272.560493424335,500,663343200.3890057,8CHOCTAW_MS_360654-8HAYWOOD_TN_360542,2824,0,618933322.140625,879830568.8125,42.15272265024337,0.0,0.021954674220963172,0.3480878186968839,0.6299575070821529,260897246.671875,279617219.47922564,942960419.8682313
8ACKERMAN CC_360627,8HAYWOOD TN_360542,259.3320453791782,500,631707643.0694557,8ACKERMAN_CC_360627-8HAYWOOD_TN_360542,2694,0,591032994.953125,843557541.1875,42.72596426776525,0.0,0.0,0.36488492947290274,0.6351150705270973,252524546.234375,269903181.8545977,901610824.9240534
8CLAY_360688,8HAYWOOD TN_360542,256.9502985777296,500,621197902.0559767,8CLAY_360688-8HAYWOOD_TN_360542,2547,0,554805031.015625,790890625.9375,42.5528936696369,0.0,0.013349038084020416,0.342363564978406,0.6442873969375736,236085594.921875,264337682.739895,885535584.7958717
8COGEN CALED_360606,8HAYWOOD TN_360542,249.07590242364395,500,610847685.0056615,8COGEN_CALED_360606-8HAYWOOD_TN_360542,2334,0,515410166.609375,731603907.96875,41.94595981325033,0.0,0.0,0.397172236503856,0.602827763496144,216193741.359375,256225924.47264472,867073609.4783062
8E POINT AL_360058,8HAYWOOD TN_360542,305.4976880923781,500,739283057.2329743,8E_POINT_AL_360058-8HAYWOOD_TN_360542,2847,0,620401685.375,783176026.015625,26.23692753868592,0.19107832806462943,0.2328767123287671,0.23779416930101863,0.3382507903055848,162774340.640625,193965160.0319974,933248217.2649717
6CENTER PNT_360533,8HAYWOOD TN_360542,471.0998828879655,500,1153355409.0183425,6CENTER_PNT_360533-8HAYWOOD_TN_360542,4663,0,1026944248.234375,1301507368.6875,26.73593244474384,0.18871970834226892,0.19794123954535706,0.2841518335835299,0.3291872185288441,274563120.453125,308360323.00294304,1461715732.0212855
8BR FERRY NP_360052,8HAYWOOD TN_360542,234.88065571147646,500,564003639.6020424,8BR_FERRY_NP_360052-8HAYWOOD_TN_360542,2279,0,492899944.390625,666525194.1875,35.22525246204458,0.09214567792891619,0.11540149188240456,0.27292672224659936,0.5195261079420799,173625249.796875,198671705.9449395,762675345.5469819
