start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,length_km,voltage,cost_before_penalty,cost_after_penalty,added_cost,pct_increase
6CLOUDLANDGA_361633,7SHAWNEE FP_360002,34.81849122,-85.5353055,37.150267,-88.778122,473.468,345,909249010.6263747,1074341734.1563547,165092723.52997994,18.157
6ROCK SPG GA_361500,7SHAWNEE FP_360002,34.83897801,-85.28020801,37.150267,-88.778122,503.812,345,970290443.0728117,1141557611.991445,171267168.91863334,17.651
6WID CRK FP_360068,7SHAWNEE FP_360002,34.88515896,-85.75604163,37.150267,-88.778122,439.888,345,839437296.3808048,994282048.4154482,154844752.03464338,18.446
6WRINGOLD GA_361504,7SHAWNEE FP_360002,34.89324284,-85.13750475,37.150267,-88.778122,549.392,345,1052652531.4848341,1222983263.2841291,170330731.7992951,16.181
6BATTLFLD GA_361530,7SHAWNEE FP_360002,34.9555953,-85.26465286,37.150267,-88.778122,482.172,345,930329705.998009,1103335767.5641856,173006061.56617677,18.596
6S HAVEN CC_360594,7SHAWNEE FP_360002,34.99627529,-90.0485284,37.150267,-88.778122,324.405,345,610537336.9028168,696378632.4139302,85841295.51111339,14.06
6CONCORD TN_361509,7SHAWNEE FP_360002,34.99679719,-85.1610968,37.150267,-88.778122,563.732,345,1087110966.459806,1287573494.149916,200462527.69010994,18.44
8CHOCTAW MS_360654,8DAVIDSON TN_360048,33.2984397,-89.4127739,36.06703747,-86.9841046,418.796,500,1015865242.668355,1436489447.7084794,420624205.0401243,41.406
8ACKERMAN CC_360627,8DAVIDSON TN_360048,33.38593855,-89.20997726,36.06703747,-86.9841046,399.992,500,966709897.1056943,1304422557.590696,337712660.4850018,34.934
8CLAY_360688,8DAVIDSON TN_360048,33.47863869,-88.74043971,36.06703747,-86.9841046,362.257,500,873356187.442822,1168191091.4946532,294834904.0518311,33.759
8COGEN CALED_360606,8DAVIDSON TN_360048,33.64779158,-88.31593565,36.06703747,-86.9841046,324.436,500,781511930.8814071,1021136720.266967,239624789.38555995,30.662
6CENTER PNT_360533,8DAVIDSON TN_360048,34.6665318,-84.97089121,36.06703747,-86.9841046,331.107,500,833371735.2335594,964545685.3373823,131173950.10382293,15.74
8BR FERRY NP_360052,8DAVIDSON TN_360048,34.70520875,-87.11705751,36.06703747,-86.9841046,169.22,500,415033001.81862473,497219466.62036586,82186464.80174115,19.802
6LOOPERS FRM_360602,8DAVIDSON TN_360048,34.708916,-84.922795,36.06703747,-86.9841046,322.479,500,806157974.243211,914975185.143816,108817210.90060493,13.498
6COUNTY LINE_360013,8DAVIDSON TN_360048,34.74311084,-85.00751569,36.06703747,-86.9841046,300.886,500,760646029.3622322,875065702.7006648,114419673.3384325,15.042
6YOUNG GA_361454,8DAVIDSON TN_360048,34.75072952,-85.27349349,36.06703747,-86.9841046,258.46,500,657052837.8623157,751055691.3570921,94002853.49477643,14.307
6KENSNGTN GA_361503,8DAVIDSON TN_360048,34.81265905,-85.32344844,36.06703747,-86.9841046,258.756,500,657427068.1035221,745936843.8521258,88509775.74860373,13.463
6ALPHA GA_361502,8DAVIDSON TN_360048,34.813027,-84.853226,36.06703747,-86.9841046,302.974,500,757941061.2837288,862807010.0441852,104865948.76045631,13.836
6CLOUDLANDGA_361633,8DAVIDSON TN_360048,34.81849122,-85.5353055,36.06703747,-86.9841046,232.45,500,589677101.6287861,672362044.0379003,82684942.40911426,14.022
6ROCK SPG GA_361500,8DAVIDSON TN_360048,34.83897801,-85.28020801,36.06703747,-86.9841046,262.794,500,666684271.3405297,757234367.576385,90550096.23585537,13.582
6WID CRK FP_360068,8DAVIDSON TN_360048,34.88515896,-85.75604163,36.06703747,-86.9841046,198.765,500,502197190.16748047,586141933.6001444,83944743.43266398,16.715
6WRINGOLD GA_361504,8DAVIDSON TN_360048,34.89324284,-85.13750475,36.06703747,-86.9841046,301.521,500,753898944.1609515,867105559.5299183,113206615.36896679,15.016
6BATTLFLD GA_361530,8DAVIDSON TN_360048,34.9555953,-85.26465286,36.06703747,-86.9841046,236.487,500,600823711.2178811,699222348.7155863,98398637.49770527,16.377
6S HAVEN CC_360594,8DAVIDSON TN_360048,34.99627529,-90.0485284,36.06703747,-86.9841046,350.142,500,860320514.7134149,1253071427.837875,392750913.12446,45.652
6CONCORD TN_361509,8DAVIDSON TN_360048,34.99679719,-85.1610968,36.06703747,-86.9841046,308.477,500,772702142.8665819,886728751.9811041,114026609.11452228,14.757
8BRADLEY TN_360662,8DAVIDSON TN_360048,35.0367008,-84.963798,36.06703747,-86.9841046,271.44,500,679597254.8328873,776452661.7154315,96855406.88254412,14.252
