start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,length_km,voltage,cost_before_penalty,cost_after_penalty,added_cost,pct_increase
8BULL RUN FP_360093,8DAVIDSON TN_360048,36.01895969,-84.15785445,36.06703747,-86.9841046,381.729,500,959004175.5537817,978180163.2711583,19175987.71737662,2.0
8CUMBERLAND_360040,8DAVIDSON TN_360048,36.3921331,-87.65747953,36.06703747,-86.9841046,80.31,500,197719416.35048756,227106826.0450793,29387409.694591723,14.863
7SHAWNEE FP_360002,8DAVIDSON TN_360048,37.150267,-88.778122,36.06703747,-86.9841046,277.736,500,671210840.7063993,852925873.6484867,181715032.94208744,27.073
8ACKERMAN CC_360627,8BR FERRY NP_360052,33.38593855,-89.20997726,34.70520875,-87.11705751,279.995,500,682223902.7658104,791400775.7397175,109176872.97390717,16.003
6CENTER PNT_360533,8BR FERRY NP_360052,34.6665318,-84.97089121,34.70520875,-87.11705751,272.518,500,680961955.0832074,690058590.3196974,9096635.236489983,1.336
6LOOPERS FRM_360602,8BR FERRY NP_360052,34.708916,-84.922795,34.70520875,-87.11705751,279.27,500,699101778.5369401,708203875.8568034,9102097.31986331,1.302
6COUNTY LINE_360013,8BR FERRY NP_360052,34.74311084,-85.00751569,34.70520875,-87.11705751,245.763,500,617119648.4527452,624454620.5311302,7334972.078384941,1.189
6YOUNG GA_361454,8BR FERRY NP_360052,34.75072952,-85.27349349,34.70520875,-87.11705751,211.866,500,530240910.73846656,539040950.9190688,8800040.1806022,1.66
6KENSNGTN GA_361503,8BR FERRY NP_360052,34.81265905,-85.32344844,34.70520875,-87.11705751,212.065,500,530769591.76954836,539597469.7251259,8827877.955577528,1.663
6ALPHA GA_361502,8BR FERRY NP_360052,34.813027,-84.853226,34.70520875,-87.11705751,298.34,500,745196572.2623761,754304078.6177949,9107506.355418798,1.222
6CLOUDLANDGA_361633,8BR FERRY NP_360052,34.81849122,-85.5353055,34.70520875,-87.11705751,185.968,500,464174271.8617565,470205503.8497572,6031231.98800068,1.299
6ROCK SPG GA_361500,8BR FERRY NP_360052,34.83897801,-85.28020801,34.70520875,-87.11705751,216.104,500,539982407.9764328,548815935.5579622,8833527.581529357,1.636
6WID CRK FP_360068,8BR FERRY NP_360052,34.88515896,-85.75604163,34.70520875,-87.11705751,160.673,500,400843599.66358525,406925268.95633066,6081669.292745397,1.517
6WRINGOLD GA_361504,8BR FERRY NP_360052,34.89324284,-85.13750475,34.70520875,-87.11705751,253.995,500,634374558.5039443,641604324.87495,7229766.371005801,1.14
6BATTLFLD GA_361530,8BR FERRY NP_360052,34.9555953,-85.26465286,34.70520875,-87.11705751,203.209,500,518633298.6355768,527384027.16900635,8750728.533429585,1.687
6S HAVEN CC_360594,8BR FERRY NP_360052,34.99627529,-90.0485284,34.70520875,-87.11705751,320.826,500,782372833.9810385,995860248.1537266,213487414.17268813,27.287
6CONCORD TN_361509,8BR FERRY NP_360052,34.99679719,-85.1610968,34.70520875,-87.11705751,275.782,500,689945607.6100473,697206698.0425565,7261090.432509153,1.052
8BENTON MS_360612,8BR FERRY NP_360052,35.17466126,-89.74553609,34.70520875,-87.11705751,281.047,500,681505956.3236476,835769689.2235223,154263732.89987472,22.636
8ANDERSON TN_360120,8BR FERRY NP_360052,35.94503289,-84.38856432,34.70520875,-87.11705751,322.53,500,793303512.7463707,809681014.1992729,16377501.452902162,2.064
7SHAWNEE FP_360002,8BR FERRY NP_360052,37.150267,-88.778122,34.70520875,-87.11705751,354.632,500,848091553.6458982,1081824478.2354822,233732924.58958405,27.56
8CHOCTAW MS_360654,8CUMBERLAND_360040,33.2984397,-89.4127739,36.3921331,-87.65747953,422.223,500,1014271767.6210799,1261596870.8069227,247325103.18584266,24.385
8ACKERMAN CC_360627,8CUMBERLAND_360040,33.38593855,-89.20997726,36.3921331,-87.65747953,402.881,500,969901437.4944185,1158497043.9238846,188595606.42946607,19.445
8CLAY_360688,8CUMBERLAND_360040,33.47863869,-88.74043971,36.3921331,-87.65747953,374.384,500,901460429.5376737,1088282913.26656,186822483.7288865,20.724
8COGEN CALED_360606,8CUMBERLAND_360040,33.64779158,-88.31593565,36.3921331,-87.65747953,339.784,500,819264877.9633045,926368387.3143501,107103509.35104561,13.073
6CENTER PNT_360533,8CUMBERLAND_360040,34.6665318,-84.97089121,36.3921331,-87.65747953,400.936,500,995527319.7431612,1042282318.5688142,46754998.82565298,4.697
8BR FERRY NP_360052,8CUMBERLAND_360040,34.70520875,-87.11705751,36.3921331,-87.65747953,213.723,500,517459439.35818696,572999157.102419,55539717.74423204,10.733
6LOOPERS FRM_360602,8CUMBERLAND_360040,34.708916,-84.922795,36.3921331,-87.65747953,393.104,500,977800643.6223795,1022191977.369125,44391333.74674542,4.54
6COUNTY LINE_360013,8CUMBERLAND_360040,34.74311084,-85.00751569,36.3921331,-87.65747953,371.698,500,924452008.8005961,969277632.8422285,44825624.04163242,4.849
